date,type,registration,operator,fatalities,location,country,cat,year
27-JAN-2009,Cessna 560 Citation V,OE-GAA,Tyrol Air Ambulance,0.0,Tyrol Air Ambulance,Russia,A2,2009
30-JAN-2009,C-17A Globemaster III,96-0002,USAF,0.0,USAF,Afghanistan,A2,2009
01-FEB-2009,Airbus A320-232,no registeration,IndiGo Airlines,0.0,IndiGo Airlines,India,H2,2009
04-FEB-2009,AMI DC-3-65TP,N834TP,National Test Pilot School,0.0,National Test Pilot School,USA,A1,2009
04-FEB-2009,DHC-6 Twin Otter 100,C-FCCE,Transwest Air,0.0,Transwest Air,Canada,A1,2009
05-FEB-2009,Learjet 35A,XB-RYT,Rajet Aeroservicios,0.0,Rajet Aeroservicios,Mexico,A2,2009
06-FEB-2009,Bombardier Global Express,N906JW,JW Asset Management,0.0,JW Asset Management,Switzerland,A2,2009
07-FEB-2009,Cessna 650 Citation III,I-FEEV,Air One Executive,2.0,Air One Executive,Italy,A1,2009
07-FEB-2009,Embraer EMB-110P1 Bandeirante,PT-SEA,Manaus AerotÃ¡xi,24.0,Manaus AerotÃ¡xi,Brazil,A1,2009
09-FEB-2009,Airbus A321-211,F-GYAJ,Air MÃ©diterranÃ©e,0.0,Air MÃ©diterranÃ©e,France,A2,2009
11-FEB-2009,Cessna 208B Grand Caravan,5Y-BUQ,Airworks,0.0,Airworks,South Sudan,A1,2009
11-FEB-2009,Antonov An-2,10 yellow,Russian AF,0.0,Russian AF,Russia,A1,2009
11-FEB-2009,Beech 200 Super King Air,TC-AUY,Anadolu University Civil Aviation School,0.0,Anadolu University Civil Aviation School,Turkey,A1,2009
12-FEB-2009,DHC-8-402Q Dash 8,N200WQ,"Colgan Air, opf Continental Connection",,"Colgan Air, opf Continental Connection",USA,A1,2009
12-FEB-2009,Dassault Falcon 100,VP-BAF,Laret Aviation,2.0,Laret Aviation,Switzerland,A1,2009
12-FEB-2009,BAe 3102 Jetstream 31,SX-SKY,Sky Express,0.0,Sky Express,Greece,A1,2009
13-FEB-2009,Avro RJ100,G-BXAR,BA CityFlyer,0.0,BA CityFlyer,U.K.,A1,2009
14-FEB-2009,CASA C-212 Aviocar 200,N440RA,Arctic Transportation Services,0.0,Arctic Transportation Services,USA,A2,2009
15-FEB-2009,HESA IrAn-140-100,HESA90-04,HESA,5.0,HESA,Iran,A1,2009
15-FEB-2009,Cessna 208B Grand Caravan,YV1950,Rutaca,0.0,Rutaca,Venezuela,A2,2009
18-FEB-2009,Basler Turbo 67 (DC-3T),FAC-1670,Colombian AF,5.0,Colombian AF,Colombia,A1,2009
18-FEB-2009,Basler Turbo 67 (DC-3T),PNC-0211,Colombian Police,0.0,Colombian Police,Colombia,O1,2009
20-FEB-2009,Antonov An-12B,S9-SVN,Aerolift,5.0,Aerolift,Egypt,A1,2009
22-FEB-2009,Antonov An-2SX,EX-68039,Golden Rule Airlines,0.0,Golden Rule Airlines,Kyrgyzstan,A1,2009
